"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1752465004300038635","Tue Jan 30 22:53:10 +0000 2024","6","#Gempa Mag:3.6 31-Jan-2024 05:47:35WIB Lok:3.92LS 133.71BT (74 km BaratDaya KAIMANA-PAPUABRT) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/sed9NdL4Gn","1752465004300038635","https://pbs.twimg.com/tweet_video_thumb/GFIBonuasAEZQr4.jpg","","in","Indonesia","0","0","1","https://x.com/infoBMKG/status/1752465004300038635","108543358","infoBMKG"
"1752460974504939771","Tue Jan 30 22:37:10 +0000 2024","5","#Gempa Mag:2.6 31-Jan-2024 05:32:20WIB Lok:1.49LU 99.64BT (3 km BaratDaya PADANGLAWASUTARA-SUMUT) Kedlmn:164 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/c63sBSEd6H","1752460974504939771","https://pbs.twimg.com/tweet_video_thumb/GFH9-EIaAAAHGZw.jpg","","in","Indonesia","0","0","2","https://x.com/infoBMKG/status/1752460974504939771","108543358","infoBMKG"
"1752456697665474850","Tue Jan 30 22:20:10 +0000 2024","13","#Gempa Mag:4.5 31-Jan-2024 05:14:56WIB Lok:4.60LS 129.69BT (165 km Tenggara MALUKUTENGAH) Kedlmn:182 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/iI6LhZwhdC","1752456697665474850","https://pbs.twimg.com/tweet_video_thumb/GFH6FGvbgAAEas8.jpg","","in","Indonesia","0","0","3","https://x.com/infoBMKG/status/1752456697665474850","108543358","infoBMKG"
"1752406358631293307","Tue Jan 30 19:00:08 +0000 2024","16","#Gempa Mag:3.2 31-Jan-2024 01:57:49WIB Lok:8.50LS 107.82BT (116 km BaratDaya KAB-PANGANDARAN-JABAR) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/ndh79IjtXi","1752406358631293307","https://pbs.twimg.com/tweet_video_thumb/GFHMS_ebUAAC_RR.jpg","","in","Indonesia","0","0","5","https://x.com/infoBMKG/status/1752406358631293307","108543358","infoBMKG"
"1752393279981957156","Tue Jan 30 18:08:10 +0000 2024","28","#Gempa Mag:5.0 31-Jan-2024 01:05:27WIB Lok:1.96LU 126.60BT (129 km BaratLaut HALMAHERABARAT-MALUT) Kedlmn:11 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/PMZP6ublPn","1752393279981957156","https://pbs.twimg.com/tweet_video_thumb/GFHAZtVboAAKowQ.jpg","","in","Indonesia","0","1","6","https://x.com/infoBMKG/status/1752393279981957156","108543358","infoBMKG"
"1752338920757727541","Tue Jan 30 14:32:10 +0000 2024","13","#Gempa Mag:3.2 30-Jan-2024 21:28:12WIB Lok:2.87LS 127.90BT (39 km BaratLaut SERAMBAGIANBARAT-MALUKU) Kedlmn:19 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/oHBe688Jjd","1752338920757727541","https://pbs.twimg.com/tweet_video_thumb/GFGO9jHbEAAzKq9.jpg","","in","Indonesia","0","0","4","https://x.com/infoBMKG/status/1752338920757727541","108543358","infoBMKG"
"1752300412567506970","Tue Jan 30 11:59:09 +0000 2024","8","#Gempa Mag:3.1 30-Jan-2024 18:53:56WIB Lok:9.28LS 119.17BT (12 km BaratLaut TAMBOLAKA-NTT) Kedlmn:37 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/gkBmp1fuH4","1752300412567506970","https://pbs.twimg.com/tweet_video_thumb/GFFr8H0bYAAOjyN.jpg","","in","Indonesia","0","0","1","https://x.com/infoBMKG/status/1752300412567506970","108543358","infoBMKG"
"1752271226507338032","Tue Jan 30 10:03:10 +0000 2024","8","#Gempa Mag:3.5 30-Jan-2024 16:58:21WIB Lok:8.97LS 118.70BT (55 km Tenggara DOMPU-NTB) Kedlmn:75 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/oRGg7e6vug","1752271226507338032","https://pbs.twimg.com/tweet_video_thumb/GFFRZRda4AARfMs.jpg","","in","Indonesia","1","0","4","https://x.com/infoBMKG/status/1752271226507338032","108543358","infoBMKG"
"1752268703541145750","Tue Jan 30 09:53:09 +0000 2024","43","#Gempa Mag:4.0 30-Jan-2024 16:49:35WIB Lok:4.35LU 96.81BT (30 km BaratDaya TAKENGON-ACEHTENGAH) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/IKJB1zUvjA","1752268703541145750","https://pbs.twimg.com/tweet_video_thumb/GFFPGYnb0AAOHQX.jpg","","in","Indonesia","1","1","10","https://x.com/infoBMKG/status/1752268703541145750","108543358","infoBMKG"
"1752259390588252498","Tue Jan 30 09:16:08 +0000 2024","4","#Gempa Mag:3.7 30-Jan-2024 16:10:58WIB Lok:2.14LS 139.85BT (80 km TimurLaut SARMI-PAPUA) Kedlmn:11 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/rJqpePjpZn","1752259390588252498","https://pbs.twimg.com/tweet_video_thumb/GFFGoTDbcAAdIr5.jpg","","in","Indonesia","0","2","3","https://x.com/infoBMKG/status/1752259390588252498","108543358","infoBMKG"
"1752163519129407954","Tue Jan 30 02:55:11 +0000 2024","15","#Gempa Mag:3.2 30-Jan-2024 09:49:41WIB Lok:1.61LS 120.36BT (49 km BaratDaya POSO-SULTENG) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/9jus6Px1Ri","1752163519129407954","https://pbs.twimg.com/tweet_video_thumb/GFDvb1RaYAAOvR9.jpg","","in","Indonesia","1","2","1","https://x.com/infoBMKG/status/1752163519129407954","108543358","infoBMKG"
"1752155236796613042","Tue Jan 30 02:22:16 +0000 2024","15","#Gempa Mag:2.7 30-Jan-2024 09:15:54WIB Lok:1.12LS 120.31BT (55 km TimurLaut SIGI-SULTENG) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/4cNh2dTegF","1752155236796613042","https://pbs.twimg.com/tweet_video_thumb/GFDn4Pna0AAHdb3.jpg","","in","Indonesia","0","2","5","https://x.com/infoBMKG/status/1752155236796613042","108543358","infoBMKG"
"1752145898946347081","Tue Jan 30 01:45:10 +0000 2024","4","#Gempa Mag:3.1 30-Jan-2024 08:41:12WIB Lok:0.21LS 121.52BT (88 km BaratDaya POHUWATO-GORONTALO) Kedlmn:14 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/7jDmJPFwsz","1752145898946347081","https://pbs.twimg.com/tweet_video_thumb/GFDfaN7bMAAZkB4.jpg","","in","Indonesia","0","1","2","https://x.com/infoBMKG/status/1752145898946347081","108543358","infoBMKG"
"1752144889045975092","Tue Jan 30 01:41:09 +0000 2024","35","#Gempa Mag:3.3 30-Jan-2024 08:38:48WIB Lok:3.57LS 102.44BT (14 km BaratDaya REJANGLEBONG-BENGKULU) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/d63ZXjSAnH","1752144889045975092","https://pbs.twimg.com/tweet_video_thumb/GFDefdMaEAAccET.jpg","","in","Indonesia","2","3","6","https://x.com/infoBMKG/status/1752144889045975092","108543358","infoBMKG"
"1752123745874124896","Tue Jan 30 00:17:08 +0000 2024","15","#Gempa Mag:4.1 30-Jan-2024 07:13:41WIB Lok:0.26LU 96.96BT (96 km BaratDaya NIASBARAT-SUMUT) Kedlmn:15 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/RWs13xiTAW","1752123745874124896","https://pbs.twimg.com/tweet_video_thumb/GFDLQwbaUAAlVha.jpg","","in","Indonesia","0","0","2","https://x.com/infoBMKG/status/1752123745874124896","108543358","infoBMKG"
"1752098081347391601","Mon Jan 29 22:35:09 +0000 2024","61","#Gempa Mag:3.1 30-Jan-2024 05:33:02WIB Lok:10.06LS 119.76BT (42 km BaratDaya LEWA-SUMBATIMUR-NTT) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/4c8wL2zksd","1752098081347391601","https://pbs.twimg.com/tweet_video_thumb/GFCz63ma4AAemoB.jpg","","in","Indonesia","0","3","9","https://x.com/infoBMKG/status/1752098081347391601","108543358","infoBMKG"
"1752095563733139932","Mon Jan 29 22:25:09 +0000 2024","8","#Gempa Mag:3.3 30-Jan-2024 05:21:48WIB Lok:10.06LS 119.72BT (43 km BaratDaya LEWA-SUMBATIMUR-NTT) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/s1kZqVx8Fr","1752095563733139932","https://pbs.twimg.com/tweet_video_thumb/GFCxoWEa0AAla8S.jpg","","in","Indonesia","0","0","4","https://x.com/infoBMKG/status/1752095563733139932","108543358","infoBMKG"
"1752008239707992303","Mon Jan 29 16:38:09 +0000 2024","13","#Gempa Mag:3.0 29-Jan-2024 23:34:19WIB Lok:0.45LU 98.33BT (59 km Tenggara NIASSELATAN-SUMUT) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/2RubpyCrbW","1752008239707992303","https://pbs.twimg.com/tweet_video_thumb/GFBiNbSboAAbnxh.jpg","","in","Indonesia","0","1","2","https://x.com/infoBMKG/status/1752008239707992303","108543358","infoBMKG"
"1752000937156304950","Mon Jan 29 16:09:08 +0000 2024","34","#Gempa Mag:4.7 29-Jan-2024 23:04:59WIB Lok:7.38LS 129.22BT (180 km TimurLaut MALUKUBRTDAYA) Kedlmn:191 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/iJarcgxAcY","1752000937156304950","https://pbs.twimg.com/tweet_video_thumb/GFBbkW8a4AAoLWr.jpg","","in","Indonesia","0","3","3","https://x.com/infoBMKG/status/1752000937156304950","108543358","infoBMKG"
"1751989618499830210","Mon Jan 29 15:24:10 +0000 2024","13","#Gempa Mag:3.2 29-Jan-2024 22:21:04WIB Lok:3.38LS 128.66BT (34 km BaratDaya MALUKUTENGAH) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/pK7QnAeIIW","1751989618499830210","https://pbs.twimg.com/tweet_video_thumb/GFBRRhhbwAA0g4K.jpg","","in","Indonesia","0","1","1","https://x.com/infoBMKG/status/1751989618499830210","108543358","infoBMKG"
"1751973264589803898","Mon Jan 29 14:19:11 +0000 2024","8","#Gempa Mag:3.3 29-Jan-2024 21:15:57WIB Lok:1.22LU 120.98BT (45 km TimurLaut TOLI-TOLI-SULTENG) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Y30BZ4DRvV","1751973264589803898","https://pbs.twimg.com/tweet_video_thumb/GFBCZm9bgAA3R2n.jpg","","in","Indonesia","0","1","4","https://x.com/infoBMKG/status/1751973264589803898","108543358","infoBMKG"
"1751970241700335693","Mon Jan 29 14:07:10 +0000 2024","10","#Gempa Mag:2.1 29-Jan-2024 21:03:56WIB Lok:2.88LS 128.88BT (47 km BaratLaut MALUKUTENGAH) Kedlmn:16 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/E0NmI6OrGc","1751970241700335693","https://pbs.twimg.com/tweet_video_thumb/GFA_pmlaYAAKScq.jpg","","in","Indonesia","0","1","3","https://x.com/infoBMKG/status/1751970241700335693","108543358","infoBMKG"
"1751891977917157423","Mon Jan 29 08:56:10 +0000 2024","5","#Gempa Mag:2.3 29-Jan-2024 15:52:20WIB Lok:8.77LS 118.85BT (36 km Tenggara KOTA-BIMA-NTB) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/mQO5PoWwoV","1751891977917157423","https://pbs.twimg.com/tweet_video_thumb/GE_4d2eaAAAXi6A.jpg","","in","Indonesia","0","1","2","https://x.com/infoBMKG/status/1751891977917157423","108543358","infoBMKG"
"1751891727303282825","Mon Jan 29 08:55:11 +0000 2024","13","#Gempa Mag:3.6 29-Jan-2024 15:51:27WIB Lok:3.37LS 138.08BT (27 km TimurLaut PUNCAKJAYA-PAPUA) Kedlmn:134 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/DJDr4EWFyY","1751891727303282825","https://pbs.twimg.com/tweet_video_thumb/GE_4Pf2a8AAQa7v.jpg","","in","Indonesia","0","1","2","https://x.com/infoBMKG/status/1751891727303282825","108543358","infoBMKG"
"1751873873627549878","Mon Jan 29 07:44:14 +0000 2024","40","#Gempa Mag:5.1 29-Jan-2024 14:37:28WIB Lok:8.32LU 127.56BT (490 km TimurLaut MELONGUANE-SULUT) Kedlmn:106 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Z5RdrwlKK7","1751873873627549878","https://pbs.twimg.com/tweet_video_thumb/GE_oASFaYAAAEH8.jpg","","in","Indonesia","0","2","11","https://x.com/infoBMKG/status/1751873873627549878","108543358","infoBMKG"
"1751837615559782597","Mon Jan 29 05:20:09 +0000 2024","6","#Gempa Mag:3.3 29-Jan-2024 12:15:54WIB Lok:2.43LU 128.59BT (53 km TimurLaut DARUBA-MALUT) Kedlmn:200 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/RFaFy3L6W1","1751837615559782597","https://pbs.twimg.com/tweet_video_thumb/GE_HBwQaYAAS2Ye.jpg","","in","Indonesia","0","0","2","https://x.com/infoBMKG/status/1751837615559782597","108543358","infoBMKG"
"1751820248838463889","Mon Jan 29 04:11:09 +0000 2024","7","#Gempa Mag:4.7 29-Jan-2024 11:06:41WIB Lok:3.51LU 125.93BT (50 km Tenggara TAHUNA-KEP.SANGIHE-SULUT) Kedlmn:190 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/8IdIWwV4IV","1751820248838463889","https://pbs.twimg.com/tweet_video_thumb/GE-3O3jaYAAfTAv.jpg","","in","Indonesia","0","0","2","https://x.com/infoBMKG/status/1751820248838463889","108543358","infoBMKG"
"1751814961331114374","Mon Jan 29 03:50:08 +0000 2024","19","#Gempa Mag:3.4 29-Jan-2024 10:47:14WIB Lok:8.75LS 107.29BT (177 km BaratDaya KAB-PANGANDARAN-JABAR) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/RFhTZgZXt5","1751814961331114374","https://pbs.twimg.com/tweet_video_thumb/GE-ybHEbUAA9FDJ.jpg","","in","Indonesia","0","2","4","https://x.com/infoBMKG/status/1751814961331114374","108543358","infoBMKG"
"1751784764183617763","Mon Jan 29 01:50:09 +0000 2024","11","#Gempa Mag:4.1 29-Jan-2024 08:44:44WIB Lok:9.94LS 118.89BT (40 km BaratDaya KODI-SUMBABARATDAYA-NTT) Kedlmn:28 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/6wrYyXqf19","1751784764183617763","https://pbs.twimg.com/tweet_video_thumb/GE-W9aHa0AAa8es.jpg","","in","Indonesia","0","1","2","https://x.com/infoBMKG/status/1751784764183617763","108543358","infoBMKG"
"1751782501436252355","Mon Jan 29 01:41:09 +0000 2024","15","#Gempa Mag:2.9 29-Jan-2024 08:38:09WIB Lok:0.26LU 122.61BT (41 km Tenggara BOALEMO-GORONTALO) Kedlmn:129 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Ep6JOQubtE","1751782501436252355","https://pbs.twimg.com/tweet_video_thumb/GE-U5umbgAAL7aE.jpg","","in","Indonesia","0","0","1","https://x.com/infoBMKG/status/1751782501436252355","108543358","infoBMKG"
"1751781995011866967","Mon Jan 29 01:39:08 +0000 2024","11","#Gempa Mag:3.6 29-Jan-2024 08:36:16WIB Lok:8.69LS 124.37BT (48 km BaratDaya ALOR-NTT) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Uqljo4EhfY","1751781995011866967","https://pbs.twimg.com/tweet_video_thumb/GE-UcQHa8AAf8Zk.jpg","","in","Indonesia","0","0","2","https://x.com/infoBMKG/status/1751781995011866967","108543358","infoBMKG"
"1751778224647061902","Mon Jan 29 01:24:09 +0000 2024","10","#Gempa Mag:3.0 29-Jan-2024 08:19:51WIB Lok:10.02LS 119.82BT (36 km BaratDaya LEWA-SUMBATIMUR-NTT) Kedlmn:15 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/reP25Rld7r","1751778224647061902","https://pbs.twimg.com/tweet_video_thumb/GE-RAxQbEAETlAR.jpg","","in","Indonesia","0","0","3","https://x.com/infoBMKG/status/1751778224647061902","108543358","infoBMKG"
"1751775983932449172","Mon Jan 29 01:15:15 +0000 2024","12","#Gempa Mag:3.9 29-Jan-2024 08:11:59WIB Lok:6.28LS 103.60BT (126 km BaratDaya PESISIRBARAT-LAMPUNG) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/fly57skkmz","1751775983932449172","https://pbs.twimg.com/tweet_video_thumb/GE-O-NJaQAAuV3H.jpg","","in","Indonesia","0","0","4","https://x.com/infoBMKG/status/1751775983932449172","108543358","infoBMKG"
"1751727394287980900","Sun Jan 28 22:02:10 +0000 2024","13","#Gempa Mag:3.1 29-Jan-2024 04:56:22WIB Lok:2.51LS 121.27BT (13 km TimurLaut LUWUTIMUR-SULSEL) Kedlmn:10 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/gx7GkTFauq","1751727394287980900","https://pbs.twimg.com/tweet_video_thumb/GE9iyEHbEAAU-_u.jpg","","in","Indonesia","0","0","4","https://x.com/infoBMKG/status/1751727394287980900","108543358","infoBMKG"
